,cell1,cell2,score,dataset1,dataset2,name1,name2
1,1,219,0.916666666666667,1,2,Cell1,Cell719
2,1,244,0.833333333333333,1,2,Cell1,Cell744
3,2,385,0.916666666666667,1,2,Cell2,Cell885
4,2,193,1,1,2,Cell2,Cell693
5,2,399,0.666666666666667,1,2,Cell2,Cell899
6,2,379,0.583333333333333,1,2,Cell2,Cell879
7,3,217,0.666666666666667,1,2,Cell3,Cell717
8,3,236,0.916666666666667,1,2,Cell3,Cell736
9,3,81,0.5,1,2,Cell3,Cell581
10,4,182,1,1,2,Cell4,Cell682
11,4,414,0.916666666666667,1,2,Cell4,Cell914
12,4,149,0.75,1,2,Cell4,Cell649
13,5,229,0.0833333333333333,1,2,Cell5,Cell729
14,5,136,1,1,2,Cell5,Cell636
15,5,270,0.833333333333333,1,2,Cell5,Cell770
16,5,325,0.5,1,2,Cell5,Cell825
17,6,137,0.75,1,2,Cell6,Cell637
18,6,108,0.333333333333333,1,2,Cell6,Cell608
19,7,115,0.75,1,2,Cell7,Cell615
20,7,240,0.833333333333333,1,2,Cell7,Cell740
21,7,57,0.5,1,2,Cell7,Cell557
22,8,311,0.75,1,2,Cell8,Cell811
23,8,112,0.75,1,2,Cell8,Cell612
24,9,405,0.833333333333333,1,2,Cell9,Cell905
25,9,28,0.833333333333333,1,2,Cell9,Cell528
26,10,70,1,1,2,Cell10,Cell570
27,10,9,1,1,2,Cell10,Cell509
28,10,205,0.666666666666667,1,2,Cell10,Cell705
29,10,406,0.666666666666667,1,2,Cell10,Cell906
30,11,38,0.333333333333333,1,2,Cell11,Cell538
31,11,128,0.5,1,2,Cell11,Cell628
32,11,48,0.166666666666667,1,2,Cell11,Cell548
33,12,374,0.666666666666667,1,2,Cell12,Cell874
34,13,88,0.416666666666667,1,2,Cell13,Cell588
35,13,116,0.833333333333333,1,2,Cell13,Cell616
36,13,145,0,1,2,Cell13,Cell645
37,13,42,0.833333333333333,1,2,Cell13,Cell542
